No.,No. 2,Description,Price EXW,Description 2,Inventory,Net Change,Unit Price,Unit Price Including VAT,Unit Cost,Profit %,Base Unit of Measure,Blocked,Division Code,Item Category Code,Recipe Item Type,Barcode No.,BRANDS,Gen. Prod. Posting Group,Transfer Posting Group,Inventory Posting Group,Division Description,Item Category Description,Retail Product Code,DisCountinue,Unit Cost1,Retail Product Description,Qty. Onhand at Date,VAT Bus. Posting Gr. (Price),Date Created,Created by User,Last DateTime Modified,Last Modified by User,Gross Weight,Net Weight,No Discount Allowed,Price Includes VAT
26-753,ACP,قطع غيار كمبروسر,0.00,AXLE COMPRESSOR PISTO   26/753,9.,9.,0.00,0.00,9.13,0.,PCS,FALSE,SPARE PART,SPARE PT S, ,3112600000768,ARB,PRODUCT,TRANSFER,INV,Spare Parts,Spare Parts,SPARE PT,TRUE,9.13,Spare Parts,9.,VAT,13/3/2019,ZAIDG\RITD013,01/05/25 09:13:51,30570,0.,0.,FALSE,TRUE
26-754,171303,قطع تركيب 171303,0.00,INFLATION ACCESSORY KIT,23.,23.,15.00,15.00,4.99,61.74333,PCS,FALSE,CARS ACCES,RECOVERY, ,9332018065001,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Recovery,CARS START,FALSE,4.99,Cars Starters,23.,VAT,13/3/2019,ZAIDG\RITD013,29/04/26 08:28:48,30485,0.,0.,FALSE,TRUE
26-755,135200,قطع تركيب 135200,0.00,"AIR RAM ASSEMBLY 3.1/2 ""   26/755",0.,0.,0.00,0.00,0.00,0.,PCS,FALSE,CARS ACCES,KITS, ,9343801001038,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Kits,FITTING KI,TRUE,0.00,Fitting Kits,0.,VAT,13/3/2019,ZAIDG\RITD013,06/05/25 12:40:32,35822,0.,0.,FALSE,TRUE
26-756,171403,قطع غيار كمبورسر,0.00,HOSE COUPLING US STD(F) JIC4 P,0.,0.,85.00,85.00,17.85,75.85,PCS,FALSE,SPARE PART,SPARE PT S, ,9332018074065,ARB,PRODUCT,TRANSFER,INV,Spare Parts,Spare Parts,SPARE PT,TRUE,17.85,Spare Parts,0.,VAT,13/3/2019,ZAIDG\RITD013,06/05/25 12:40:33,35822,0.,0.,FALSE,TRUE
26-757,320501,قطع غيار كمبريسور هواء,0.00,AIR FILTER ASSY,125.,125.,125.00,125.00,53.415,50.8582,PCS,FALSE,SPARE PART,SPARE PT S, ,3112600000772,ARB,PRODUCT,TRANSFER,INV,Spare Parts,Spare Parts,SPARE PT,FALSE,53.415,Spare Parts,125.,VAT,13/3/2019,ZAIDG\RITD013,19/05/26 14:30:46,25275,0.,0.,FALSE,TRUE
26-758,OME79PF10,كعكات OME79PF10,0.00,Trim Packer - Front Coil Spring - 10MM OME79PF10,6.,6.,95.00,95.00,21.357,74.14679,PCS,FALSE,CARS ACCES,SUSPENSION, ,26-758,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Suspensions,BP51 SHOCK,FALSE,21.357,BP51 Shocks,6.,VAT,13/3/2019,ZAIDG\RITD013,22/06/26 07:15:57,30570,0.,0.,FALSE,TRUE
26-759,FK77,قطع تركيب FK77,0.00,F/KIT SWAY BAR W/O OE MNT,6.,6.,720.00,720.00,299.207,52.20999,PCS,FALSE,CARS ACCES,CARS PROTE, ,9332018029577,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Cars Protections,BARS CARS,FALSE,299.207,Bars,6.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:22:37,24552,0.,0.,FALSE,TRUE
26-76,N22F,مساعدات خلفي باترول N22F,250.00,NITROCHARGER NISSAN Y60- 26/76,2.,2.,250.00,250.00,189.61,12.7794,PCS,FALSE,CARS ACCES,SUSPENSION, ,9312891008043,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Suspensions,BP51 SHOCK,TRUE,189.61,BP51 Shocks,2.,VAT,13/3/2019,ZAIDG\RITD013,18/06/26 10:03:08,35762,0.,0.,FALSE,TRUE
26-760,FK51,قطع تركيب FK51,0.00,BPV RELOCATION KIT 50MM,5.,5.,85.00,85.00,39.054,47.16224,PCS,FALSE,CARS ACCES,SUSPENSION, ,9332018016119,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Suspensions,BP51 SHOCK,FALSE,39.054,BP51 Shocks,5.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:22:37,24552,0.,0.,FALSE,TRUE
26-761,10100020,بكرة سحب 9000 كيلو,0.00,SNATCH BLOCK ULTRA LIGHT,17.,17.,495.00,495.00,213.916,50.30234,PCS,FALSE,CARS ACCES,CAR EQP CA, ,881348007209,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Cars Equipment,ARB ACCESS,FALSE,213.916,ARB Accessories,17.,VAT,13/3/2019,ZAIDG\RITD013,29/04/26 08:28:57,30485,0.,0.,FALSE,TRUE
26-762,EL079R,سست EL079R,0.00,SPRING TOY 78/79 SERIES R,0.,0.,412.00,412.00,486.01,-35.65813,PCS,FALSE,CARS ACCES,SUSPENSION, ,9332018029690,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Suspensions,BP51 SHOCK,TRUE,486.01,BP51 Shocks,0.,VAT,13/3/2019,ZAIDG\RITD013,29/04/26 08:29:09,30485,0.,0.,FALSE,TRUE
26-763,OMESTAB9,قطع تركيب OMESTAB9,0.00,SWAY BAR KIT,6.,6.,"1,450.00","1,450.00",602.423,52.22162,PCS,FALSE,CARS ACCES,CARS PROTE, ,9332018043894,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Cars Protections,BARS CARS,FALSE,602.423,Bars,6.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:22:37,24552,0.,0.,FALSE,TRUE
26-764,10910078,قطع غيار,0.00,CONTROL PANEL PCB CLASSIC BLUE,32.,32.,220.00,220.00,86.095,54.9958,PCS,FALSE,SPARE PART,SPARE PT S, ,9332018028945,ARB,PRODUCT,TRANSFER,INV,Spare Parts,Spare Parts,SPARE PT,FALSE,86.095,Spare Parts,32.,VAT,13/3/2019,ZAIDG\RITD013,19/05/26 14:30:51,25275,0.,0.,FALSE,TRUE
26-765,10910077,قطع غيار,0.00,MAIN PCB CLASSIC BLUE,32.,32.,380.00,380.00,149.656,54.70937,PCS,FALSE,SPARE PART,SPARE PT S, ,9332018028938,ARB,PRODUCT,TRANSFER,INV,Spare Parts,Spare Parts,SPARE PT,FALSE,149.656,Spare Parts,32.,VAT,13/3/2019,ZAIDG\RITD013,19/05/26 14:30:56,25275,0.,0.,FALSE,TRUE
26-766,10900026,ريموت,0.00,REMOTE WIRELESS DISPLAY,0.,0.,415.00,415.00,204.48,43.33687,PCS,FALSE,CARS ACCES,CAR EQP CA, ,9332018028488,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Cars Equipment,ARB ACCESS,TRUE,204.48,ARB Accessories,0.,VAT,13/3/2019,ZAIDG\RITD013,23/07/24 15:22:37,24552,0.,0.,FALSE,TRUE
26-767,60112,مساعد سبورت 60112,0.00,SPORT SHOCK PRADO 120 -R-,63.,63.,525.00,525.00,208.984,54.22255,PCS,FALSE,CARS ACCES,SUSPENSION, ,9312891036732,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Suspensions,BP51 SHOCK,FALSE,208.984,BP51 Shocks,63.,VAT,13/3/2019,ZAIDG\RITD013,29/04/26 08:29:15,30485,0.,0.,FALSE,TRUE
26-768,61012,مساعد باترول فتك أمامي 61012,0.00,SPORT SHOCK PATROL Y61 -F-,36.,36.,545.00,545.00,235.598,50.28666,PCS,FALSE,CARS ACCES,SUSPENSION, ,9312891034844,ARB,PRODUCT,TRANSFER,INV,Cars Accessories,Suspensions,BP51 SHOCK,FALSE,235.598,BP51 Shocks,36.,VAT,13/3/2019,ZAIDG\RITD013,29/04/26 08:28:00,30485,0.,0.,FALSE,TRUE
