Type,No.,Standard Price Including VAT,Offer Price Including VAT
Item,11-555,97.00,20.00
Item,11-710,175.00,89.00
Item,26-461,604.00,395.00
Item,11-556,82.00,18.00
Item,11-711,148.00,89.00
Item,26-1389,640.00,495.00
Item,11-557,170.00,51.00
Item,22-3916,138.00,79.00
Item,26-1412,750.00,550.00
Item,11-560,51.00,11.00
Item,4-521,"1,338.00",999.00
Item,26-1520,"1,195.00",795.00
Item,11-564,7.00,1.00
Item,22-2757,40.00,19.00
Item,26-1517,995.00,595.00
Item,11-565,36.00,8.00
Item,22-3688,96.00,39.00
Item,26-1085,750.00,495.00
Item,11-566,7.00,1.00
Item,22-2317,198.00,79.00
Item,26-460,650.00,425.00
Item,11-567,31.00,6.00
Item,22-2318,198.00,79.00
Item,26-1413,750.00,525.00
Item,11-569,95.00,20.00
Item,22-2319,198.00,79.00
Item,26-1486,995.00,595.00
Item,1-157,"1,995.00",999.00
Item,22-2320,198.00,79.00
Item,26-491,580.00,495.00
Item,11-570,17.00,4.00
Item,22-2922,135.00,75.00
Item,26-1388,650.00,425.00
Item,11-573,36.00,8.00
Item,22-2923,135.00,75.00
Item,26-584,650.00,395.00
Item,11-576,21.00,4.00
Item,22-2924,135.00,75.00
Item,26-770,620.00,395.00
Item,11-577,27.00,6.00
Item,22-3537,245.00,99.00
Item,26-1140,"1,205.00",695.00
Item,11-580,217.00,46.00
Item,22-3707,168.00,96.00
Item,26-585,650.00,525.00
Item,11-583,7.00,2.00
Item,22-3708,168.00,96.00
Item,26-1522,"1,195.00",795.00
Item,11-584,58.00,20.00
Item,22-4306,148.00,118.00
Item,26-561,785.00,495.00
Item,11-587,7.00,2.00
Item,22-4308,148.00,118.00
Item,26-1494,"1,350.00",995.00
Item,11-588,30.00,6.00
Item,22-2897,18.00,12.00
Item,26-55,355.00,250.00
Item,11-590,6.00,1.00
Item,22-2898,15.00,12.00
Item,26-1489,950.00,595.00
Item,11-591,12.00,3.00
Item,LS-UP14,148.00,79.00
Item,26-238,585.00,495.00
Item,11-593,42.00,13.00
Item,LS-UP15,148.00,79.00
Item,26-1169,710.00,495.00
Item,11-595,145.00,30.00
Item,22-3795,58.00,25.00
Item,26-1518,995.00,550.00
Item,11-597,12.00,3.00
Item,22-3796,58.00,25.00
Item,26-1521,"1,195.00",795.00
Item,11-598,62.00,13.00
Item,22-3797,78.00,49.00
Item,26-1488,950.00,595.00
Item,11-599,7.00,1.00
Item,22-3798,78.00,49.00
Item,26-1219,545.00,395.00
Item,11-603,125.00,33.00
Item,22-3799,78.00,49.00
Item,26-383,923.00,725.00
Item,11-605,147.00,44.00
Item,22-2894,75.00,49.00
Item,26-1519,995.00,595.00
Item,11-606,345.00,120.00
Item,22-2896,48.00,28.00
Item,11-607,42.00,9.00
Item,22-3406,90.00,59.00
Item,26-635,392.00,385.00
Item,11-608,95.00,29.00
Item,22-3408,188.00,99.00
Item,26-1273,900.00,395.00
Item,11-609,107.00,22.00
Item,22-2605,186.00,119.00
Item,26-1487,950.00,595.00
Item,1-161,"1,199.00",419.00
Item,22-2606,186.00,119.00
Item,26-1490,950.00,595.00
Item,11-611,85.00,59.00
Item,22-2607,186.00,119.00
Item,26-1272,895.00,395.00
Item,11-612,30.00,6.00
Item,7-1373,38.00,13.00
Item,26-1414,650.00,525.00
Item,11-617,7.00,1.00
Item,7-1411,640.00,395.00
Item,26-60,355.00,250.00
Item,11-619,95.00,29.00
Item,7-1412,980.00,599.00
Item,26-59,355.00,250.00
Item,11-620,92.00,20.00
Item,7-1501,49.00,39.00
Item,26-159,355.00,250.00
Item,11-621,55.00,12.00
Item,22-2693,16.00,4.00
Item,26-61,850.00,395.00
Item,11-622,26.00,6.00
Item,7-1541,135.00,99.00
Item,26-1474,895.00,395.00
Item,11-624,58.00,12.00
Item,7-1464,445.00,259.00
Item,26-56,355.00,250.00
Item,11-625,28.00,8.00
Item,22-3979,974.00,499.00
Item,26-1485,850.00,495.00
Item,11-626,18.00,11.00
Item,22-2774,180.00,99.00
Item,26-444,680.00,595.00
Item,11-628,127.00,38.00
Item,22-3477,185.00,79.00
Item,26-192,355.00,255.00
Item,11-629,107.00,32.00
Item,11-760,685.00,299.00
Item,26-278,355.00,295.00
Item,11-630,210.00,63.00
Item,22-3021,499.00,399.00
Item,26-1493,"1,350.00",795.00
Item,11-631,227.00,68.00
Item,22-2792,160.00,119.00
Item,26-1216,545.00,395.00
Item,11-633,260.00,78.00
Item,22-2847,180.00,139.00
Item,26-317,355.00,295.00
Item,11-635,80.00,17.00
Item,22-2461,"1,885.00","1,399.00"
Item,11-636,152.00,45.00
Item,22-2843,"2,885.00","1,499.00"
Item,26-1217,545.00,395.00
Item,11-637,112.00,34.00
Item,22-3237,"2,785.00","1,390.00"
Item,26-219,355.00,250.00
Item,1-164,"1,960.00",999.00
Item,ZSP8527,"5,650.00","3,999.00"
Item,26-249,355.00,295.00
Item,11-641,265.00,185.00
Item,22-2336,"1,484.00",990.00
Item,11-642,47.00,14.00
Item,22-2215,395.00,199.00
Item,26-1126,70.00,35.00
Item,11-643,295.00,132.00
Item,22-3215,128.00,99.00
Item,26-1286,820.00,595.00
